[2019-03-22 16:20:21,241] http://localhost:5000/tag?10001&conv=001*1553239221231*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:21,407] http://localhost:5000/tag?10001&conv=001*1553239221399*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:21,567] http://localhost:5000/tag?10001&conv=001*1553239221555*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:21,759] http://localhost:5000/tag?10001&conv=001*1553239221746*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:21,940] http://localhost:5000/tag?10001&conv=001*1553239221933*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:22,117] http://localhost:5000/tag?10001&conv=001*1553239222105*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:22,290] http://localhost:5000/tag?10001&conv=001*1553239222280*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:22,476] http://localhost:5000/tag?10001&conv=001*1553239222465*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:22,680] http://localhost:5000/tag?10001&conv=001*1553239222669*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:22,861] http://localhost:5000/tag?10001&conv=001*1553239222850*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:23,604] http://localhost:5000/tag?10001&conv=001*1553239223593*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:20:23,760] http://localhost:5000/tag?10001&conv=001*1553239223747*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:00,541] http://localhost:5000/tag?10001&conv=001*1553239260532*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:01,050] http://localhost:5000/tag?10001&conv=001*1553239261043*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:03,593] http://localhost:5000/tag?10001&conv=001*1553239263575*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:03,745] http://localhost:5000/tag?10001&conv=001*1553239263734*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:03,944] http://localhost:5000/tag?10001&conv=001*1553239263931*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:04,576] http://localhost:5000/tag?10001&conv=001*1553239264564*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:04,735] http://localhost:5000/tag?10001&conv=001*1553239264725*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:04,884] http://localhost:5000/tag?10001&conv=001*1553239264874*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:05,027] http://localhost:5000/tag?10001&conv=001*1553239265017*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:06,048] http://localhost:5000/tag?10001&conv=001*1553239266039*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:06,793] http://localhost:5000/tag?10001&conv=001*1553239266776*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:07,675] http://localhost:5000/tag?10001&conv=001*1553239267659*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:08,396] http://localhost:5000/tag?10001&conv=001*1553239268384*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:08,983] http://localhost:5000/tag?10001&conv=001*1553239268974*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:21:09,140] http://localhost:5000/tag?10001&conv=001*1553239269126*http://www.test.com/test2.html*N/A*1553239107177
